feature,rank_period1,rank_period2
mom_12_1_rank,13,13
mom_6_1_rank,18,18
mom_3_1_rank,5,8
short_reversal_rank,3,4
realized_vol_12_rank,2,2
realized_vol_3_rank,14,16
vol_ratio_rank,28,28
downside_vol_12_rank,19,21
max_drawdown_12_rank,4,3
skewness_12_rank,20,19
kurtosis_12_rank,24,24
positive_months_ratio_rank,1,1
book_to_market_rank,8,7
earnings_yield_rank,6,6
sales_to_price_rank,7,5
cash_flow_yield_rank,12,12
gross_profitability_rank,11,11
roa_rank,15,14
roe_rank,27,27
operating_leverage_rank,9,9
leverage_rank,10,10
current_ratio_rank,21,20
accruals_rank,25,25
capex_intensity_rank,16,15
sales_growth_1y_rank,23,23
earnings_growth_1y_rank,26,26
asset_growth_1y_rank,22,22
sue_rank,17,17
